PIN:MEMLATENCIES 1.0. 0x0
#
# DCACHE stats
#
#L1 Data Cache:
#Load-Hits:                    309177:   97.3001%:        309177:   97.3001%
#Load-Misses:                    8579:    2.6999%:          8579:    2.6999%
#Load-Accesses:                317756:  100.0000%:        317756:  100.0000%
#
#Store-Hits:                   133685:   98.3781%:        133685:   98.3781%
#Store-Misses:                   2204:    1.6219%:          2204:    1.6219%
#Store-Accesses:               135889:  100.0000%:        135889:  100.0000%
#
#Total-Hits:                   442862:   97.6230%:        442862:   97.6230%
#Total-Misses:                  10783:    2.3770%:         10783:    2.3770%
#Total-Accesses:               453645:  100.0000%:        453645:  100.0000%

#Load-SttRam:                  203589:   64.0709%
#Store-Sttram:                  40196:   29.5800%
#Load-Sram:                    114167:   35.9291%
#Store-Sram:                    95693:   70.4200%


#Stack-Swap:                    14329:   85.7870%:         14329:   85.7870%
#Heap-Swap:                         0:    0.0000%:             0:    0.0000%
#Global-Swap:                    2374:   14.2130%:          2374:   14.2130%
#Total-Swap:                    16703:  100.0000%:         16703:  100.0000%

#Stack-Migration:               14711:   80.7542%:         14711:   80.7542%
#Heap-Migration:                    0:    0.0000%:             0:    0.0000%
#Global-Migration:               3506:   19.2458%:          3506:   19.2458%
#Total-Migrate:                 18217:  100.0000%:         18217:  100.0000%

#Stack-WriteBack:                 351:   14.4504%:           351:   14.4504%
#Heap-WriteBack:                    0:    0.0000%:             0:    0.0000%
#Global-WriteBack:               2078:   85.5496%:          2078:   85.5496%
#Total-WriteBack:                2429:  100.0000%:          2429:  100.0000%

##############################cache line level statistics############################
Tag-Num:        Tag-Read:       Tag-Write:      Tag-Shift:      Tag-Hit:        Tag-Miss:       
###Stack###
         8407296:              20:               0:               1:              19:               1
         8407297:              12:               0:               2:              10:               2
         8407298:              25:               0:               3:              22:               3
         8407305:               4:               0:               3:               1:               3
         8407306:              30:               0:               2:              28:               2
         8407311:               6:               0:               1:               5:               1
         8407312:               8:               0:               1:               7:               1
         8407314:               8:               0:               1:               7:               1
         8407315:              32:               0:               1:              31:               1
         8407316:              28:               0:               1:              27:               1
         8407317:              30:               0:               1:              29:               1
         8407318:               3:               0:               1:               2:               1
         8407319:              21:               0:               1:              20:               1
         8407321:              21:               0:               1:              20:               1
         8407322:              14:               0:               1:              13:               1
         8407326:               2:               0:               1:               1:               1
         8407327:              32:               0:               1:              31:               1
         8407328:               6:               0:               1:               5:               1
         8407329:              15:               0:               1:              14:               1
         8407330:              28:               0:               1:              27:               1
         8407332:              20:               0:               1:              19:               1
         8407333:               4:               0:               1:               3:               1
         8407335:              12:               0:               1:              11:               1
         8407336:              16:               0:               1:              15:               1
         8407337:              32:               0:               1:              31:               1
         8407338:               2:               0:               1:               1:               1
         8407343:              34:               0:               1:              33:               1
         8407344:              32:               0:               1:              31:               1
         8407345:              20:               0:               1:              19:               1
         8407346:              16:               0:               1:              15:               1
         8407348:              26:               0:               1:              25:               1
         8407350:               9:               0:               1:               8:               1
         8407351:              16:               0:               1:              15:               1
         8407352:              16:               0:               1:              15:               1
         8407353:              46:               0:               2:              44:               2
         8407354:              24:               0:               2:              22:               2
         8407355:              38:               0:               2:              36:               2
         8407356:             324:               0:               4:             320:               4
         8407357:               4:               0:               1:               3:               1
         8407358:               1:               0:               1:               0:               1
         8407359:               4:               0:               2:               2:               2
         8407360:               2:               0:               1:               1:               1
         8407361:               2:               0:               2:               0:               2
         8407362:               1:               0:               1:               0:               1
         8407363:               1:               0:               1:               0:               1
         8407364:               2:               0:               2:               0:               2
         8407366:               2:               0:               1:               1:               1
         8407367:               1:               0:               1:               0:               1
         8407368:               2:               0:               2:               0:               2
         8407371:               4:               0:               3:               1:               3
         8407372:              10:               0:               2:               8:               2
         8407373:               9:               0:               3:               6:               3
         8407374:              10:               0:               1:               9:               1
         8407375:               6:               0:               1:               5:               1
         8407376:              10:               0:               1:               9:               1
         8407377:              13:               0:               1:              12:               1
         8407378:              10:               0:               1:               9:               1
         8407379:              10:               0:               1:               9:               1
         8407380:              10:               0:               1:               9:               1
         8407381:              10:               0:               1:               9:               1
         8407382:              10:               0:               1:               9:               1
         8407383:              10:               0:               1:               9:               1
         8407384:              10:               0:               1:               9:               1
         8407385:              10:               0:               1:               9:               1
         8407386:               5:               0:               2:               3:               2
         8407387:               4:               0:               1:               3:               1
         8407388:               4:               0:               1:               3:               1
         8407389:               5:               0:               2:               3:               2
         8407390:               6:               0:               2:               4:               2
         8407391:               6:               0:               2:               4:               2
         8407392:               6:               0:               2:               4:               2
         8407393:               5:               0:               2:               3:               2
         8407394:               4:               0:               1:               3:               1
         8407395:               4:               0:               1:               3:               1
         8407396:               4:               0:               1:               3:               1
         8407397:               6:               0:               2:               4:               2
         8407398:               5:               0:               2:               3:               2
         8407399:               7:               0:               2:               5:               2
         8407400:               6:               0:               2:               4:               2
         8407401:               4:               0:               1:               3:               1
         8407402:               4:               0:               1:               3:               1
         8407403:               6:               0:               2:               4:               2
         8407404:               5:               0:               2:               3:               2
         8407405:               5:               0:               2:               3:               2
         8407406:               5:               0:               2:               3:               2
         8407407:               6:               0:               2:               4:               2
         8407408:               5:               0:               2:               3:               2
         8407409:               5:               0:               2:               3:               2
         8407410:               5:               0:               2:               3:               2
         8407411:               4:               0:               1:               3:               1
         8407412:               4:               0:               1:               3:               1
         8407413:               6:               0:               2:               4:               2
         8407414:               4:               0:               1:               3:               1
         8407415:               6:               0:               2:               4:               2
         8407416:               4:               0:               1:               3:               1
         8407417:               4:               0:               1:               3:               1
         8407418:               4:               0:               1:               3:               1
         8407419:               5:               0:               2:               3:               2
         8407420:               5:               0:               2:               3:               2
         8407421:               6:               0:               2:               4:               2
         8407422:               4:               0:               1:               3:               1
         8407423:               4:               0:               1:               3:               1
         8407424:               4:               0:               1:               3:               1
         8407425:               5:               0:               2:               3:               2
         8407426:               5:               0:               2:               3:               2
         8407427:               5:               0:               2:               3:               2
         8407428:               5:               0:               2:               3:               2
         8407429:               4:               0:               1:               3:               1
         8407430:               5:               0:               2:               3:               2
         8407431:               5:               0:               2:               3:               2
         8407432:               4:               0:               1:               3:               1
         8407433:               4:               0:               1:               3:               1
         8407434:               4:               0:               1:               3:               1
         8407435:               4:               0:               1:               3:               1
         8407436:               5:               0:               2:               3:               2
         8407437:               7:               0:               3:               4:               3
         8407438:               4:               0:               1:               3:               1
         8407439:               4:               0:               1:               3:               1
         8407440:               4:               0:               1:               3:               1
