PIN:MEMLATENCIES 1.0. 0x0
#
# DCACHE stats
#
#L1 Data Cache:
#Load-Hits:                    308998:   97.2432%:        308998:   97.2432%
#Load-Misses:                    8760:    2.7568%:          8760:    2.7568%
#Load-Accesses:                317758:  100.0000%:        317758:  100.0000%
#
#Store-Hits:                   133765:   98.4370%:        133765:   98.4370%
#Store-Misses:                   2124:    1.5630%:          2124:    1.5630%
#Store-Accesses:               135889:  100.0000%:        135889:  100.0000%
#
#Total-Hits:                   442763:   97.6008%:        442763:   97.6008%
#Total-Misses:                  10884:    2.3992%:         10884:    2.3992%
#Total-Accesses:               453647:  100.0000%:        453647:  100.0000%

#Load-SttRam:                  203574:   64.0657%
#Store-Sttram:                  39845:   29.3217%
#Load-Sram:                    114184:   35.9343%
#Store-Sram:                    96044:   70.6783%


#Stack-Swap:                    14203:   85.9070%:         14203:   85.9070%
#Heap-Swap:                         0:    0.0000%:             0:    0.0000%
#Global-Swap:                    2330:   14.0930%:          2330:   14.0930%
#Total-Swap:                    16533:  100.0000%:         16533:  100.0000%

#Stack-Migration:               14532:   80.4384%:         14532:   80.4384%
#Heap-Migration:                    0:    0.0000%:             0:    0.0000%
#Global-Migration:               3534:   19.5616%:          3534:   19.5616%
#Total-Migrate:                 18066:  100.0000%:         18066:  100.0000%

#Stack-WriteBack:                 289:   12.3346%:           289:   12.3346%
#Heap-WriteBack:                    0:    0.0000%:             0:    0.0000%
#Global-WriteBack:               2054:   87.6654%:          2054:   87.6654%
#Total-WriteBack:                2343:  100.0000%:          2343:  100.0000%

##############################cache line level statistics############################
Tag-Num:        Tag-Read:       Tag-Write:      Tag-Shift:      Tag-Hit:        Tag-Miss:       
###Stack###
         8407142:               1:               0:               1:               0:               1
         8407143:               2:               0:               1:               1:               1
         8407144:               1:               0:               1:               0:               1
         8407145:               2:               0:               2:               0:               2
         8407146:               1:               0:               1:               0:               1
         8407147:               2:               0:               1:               1:               1
         8407151:               1:               0:               1:               0:               1
         8407152:               2:               0:               1:               1:               1
         8407156:               1:               0:               1:               0:               1
         8407157:               2:               0:               1:               1:               1
         8407159:               1:               0:               1:               0:               1
         8407160:               3:               0:               1:               2:               1
         8407161:               2:               0:               1:               1:               1
         8407162:               1:               0:               1:               0:               1
         8407163:               2:               0:               1:               1:               1
         8407168:               1:               0:               1:               0:               1
         8407169:               2:               0:               1:               1:               1
         8407171:               1:               0:               1:               0:               1
         8407172:               2:               0:               1:               1:               1
         8407175:               1:               0:               1:               0:               1
         8407176:               2:               0:               2:               0:               2
         8407177:               1:               0:               1:               0:               1
         8407178:               2:               0:               1:               1:               1
         8407187:               1:               0:               1:               0:               1
         8407188:               2:               0:               1:               1:               1
         8407191:               1:               0:               1:               0:               1
         8407192:               2:               0:               1:               1:               1
         8407200:               1:               0:               1:               0:               1
         8407201:               2:               0:               1:               1:               1
         8407203:               1:               0:               1:               0:               1
         8407204:               2:               0:               1:               1:               1
         8407212:               1:               0:               1:               0:               1
         8407213:               2:               0:               1:               1:               1
         8407216:               1:               0:               1:               0:               1
         8407217:               2:               0:               1:               1:               1
         8407222:               1:               0:               1:               0:               1
         8407223:               2:               0:               1:               1:               1
         8407234:               1:               0:               1:               0:               1
         8407235:               3:               0:               1:               2:               1
         8407236:               2:               0:               1:               1:               1
         8407253:               1:               0:               1:               0:               1
         8407254:               2:               0:               1:               1:               1
         8407257:               1:               0:               1:               0:               1
         8407258:               2:               0:               1:               1:               1
         8407259:               2:               0:               2:               0:               2
         8407260:               9:               0:               1:               8:               1
         8407261:               1:               0:               1:               0:               1
         8407262:               9:               0:               3:               6:               3
         8407263:              29:               0:               2:              27:               2
         8407264:              15:               0:               1:              14:               1
         8407265:               3:               0:               3:               0:               3
         8407266:              15:               0:               1:              14:               1
         8407268:               2:               0:               2:               0:               2
         8407269:              11:               0:               1:              10:               1
         8407270:              64:               0:               2:              62:               2
         8407271:              47:               0:               1:              46:               1
         8407272:              12:               0:               1:              11:               1
         8407274:              20:               0:               1:              19:               1
         8407275:              18:               0:               1:              17:               1
         8407279:              76:               0:               1:              75:               1
         8407280:              47:               0:               1:              46:               1
         8407289:             155:               0:               3:             152:               3
         8407290:               9:               0:               1:               8:               1
         8407291:             372:               0:               3:             369:               3
         8407292:             252:               0:               3:             249:               3
         8407293:               7:               0:               1:               6:               1
         8407296:              20:               0:               1:              19:               1
         8407297:              12:               0:               1:              11:               1
         8407298:              25:               0:               2:              23:               2
         8407305:               4:               0:               1:               3:               1
         8407306:              30:               0:               2:              28:               2
         8407311:               6:               0:               1:               5:               1
         8407312:               8:               0:               1:               7:               1
         8407314:               8:               0:               1:               7:               1
         8407315:              32:               0:               1:              31:               1
         8407316:              28:               0:               1:              27:               1
         8407317:              30:               0:               1:              29:               1
         8407318:               3:               0:               1:               2:               1
         8407319:              21:               0:               1:              20:               1
         8407321:              21:               0:               1:              20:               1
         8407322:              14:               0:               1:              13:               1
         8407326:               2:               0:               1:               1:               1
         8407327:              32:               0:               1:              31:               1
         8407328:               6:               0:               1:               5:               1
         8407329:              15:               0:               1:              14:               1
         8407330:              28:               0:               1:              27:               1
